 REP_OFFICE,OFFICE_REV
Casper         ,11793.08
Portland       ,10202.11
San Francisco  ,9333.58
Honolulu       ,9294.64
Phoenix        ,8727.30
Laramie        ,8607.97
Santa Barbara  ,8392.10
Denver         ,8160.93
Flagstaff      ,7541.14
Los Angeles    ,7326.12
Seattle        ,7232.06
Salt Lake City ,6708.09
Palm Springs   ,6360.74
Helena         ,6044.99
San Diego      ,5372.07
Sacramento     ,5164.36
Nome           ,5094.68
Rock Springs   ,5038.50
Albuquerque    ,4962.74
Fairbanks      ,4910.11
Eugene         ,4813.94
Tucson         ,4285.98
Butte          ,3477.09
Santa Fe       ,2700.16
Spokane        ,2374.88
